Antibody,TotalSeqCat,Clone,Dilution,Vendor,Study
CD2,309229,TS1/8,1:200,BioLegend,Li_2023
CD3,300475,UCHT1,1:200,BioLegend,Li_2023
CD4,300563,RPA-T4,1:100,BioLegend,Li_2023
CD7,343123,CD7-6B7,1:200,BioLegend,Li_2023
CD8,301067,RPA-T8,1:200,BioLegend,Li_2023
CD10,312231,HI10a,1:100,BioLegend,Li_2023
CD11b,301353,ICRF44,1:100,BioLegend,Li_2023
CD13,301729,WM15,1:100,BioLegend,Li_2023
CD14,301855,M5E2,1:100,BioLegend,Li_2023
CD15,125615,MC-480,1:100,BioLegend,Li_2023
CD16,302061,3G8,1:100,BioLegend,Li_2023
CD19,302259,HIB19,1:100,BioLegend,Li_2023
CD20,302359,2H7,1:100,BioLegend,Li_2023
CD24,311137,ML5,1:100,BioLegend,Li_2023
CD33,366629,P67.6,1:200,BioLegend,Li_2023
CD34,343537,581,1:100,BioLegend,Li_2023
CD38,303541,HIT2,1:50,BioLegend,Li_2023
CD45,304064,HI30,1:100,BioLegend,Li_2023
CD45RA,304157,HI100,1:100,BioLegend,Li_2023
CD49f,313633,GoH3,1:200,BioLegend,Li_2023
CD56,392421,QA17A16,1:100,BioLegend,Li_2023
CD64,305037,10.1,1:200,BioLegend,Li_2023
CD66b,392905,6/40c,1:100,BioLegend,Li_2023
CD71,334123,CY1G4,1:200,BioLegend,Li_2023
CD90,328135,5E10,1:25,BioLegend,Li_2023
CD117,313241,104D2,1:100,BioLegend,Li_2023
CD123,306037,6H6,1:100,BioLegend,Li_2023
CD135(FLT3),313317,BV10A4H2,1:100,BioLegend,Li_2023
CD235a,349117,HI264,1:200,BioLegend,Li_2023
HLADR,307659,L243,1:50,BioLegend,Li_2023
CD110 MPL,NA,S16017A,1:100,BioLegend,Li_2023
