Antigen,Cat_Number,Product,Clone
CD4,344649,TotalSeqTM-A 0045 anti-human CD4,SK3
CD7,343123,TotalSeqTM-A 0066 anti-human CD7,CD7-6B7
CD56,362557,TotalSeqTM-A 0047 anti-human CD56 (NCAM),5.1H11
CD3,344847,TotalSeqTM-A 0049 anti-human CD3,SK7
CD33,366629,TotalSeqTM-A 0052 anti-human CD33,P67.6
CD34,343537,TotalSeqTM-A 0054 anti-human CD34,581
CD90,328135,TotalSeqTM-A 0060 anti-human CD90 (Thy1),5E10
CD117,313241,TotalSeqTM-A 0061 anti-human CD117 (c-kit),104D2
CD45RA,304157,TotalSeqTM-A 0063 anti-human CD45RA,HI100
CD123,306037,TotalSeqTM-A 0064 anti-human CD123,6H6
CD14,301855,TotalSeqTM-A 0081 anti-human CD14,M5E2
HLA-DR,307659,TotalSeqTM-A 0159 anti-human HLA-DR,L243
CD11b,301353,TotalSeqTM-A 0161 anti-human CD11b,ICRF44
CD64,305037,TotalSeqTM-A 0162 anti-human CD64,10.1
CD38,303541,TotalSeqTM-A 0389 anti-human CD38,HIT2
CD45,368543,TotalSeqTM-A 0048 anti-human CD45,2D1
CD36,336225,TotalSeqTM-A 0407 anti-human CD36,5-271
CD93,336121,TotalSeqTM-A 0446 anti-human CD93,VIMD2
CD9,312119,TotalSeqTM-A 0579 anti-human CD9,HI9a
