Antigen,Clone,Cat_Number,Vendor
CD25,BC96,302643,Biolegend
CD127,A019D5,351352,Biolegend
CD194,L291H4,359423,Biolegend
CD183,G025H7,353745,Biolegend
CD279,EH12.2H7,329955,Biolegend
CD223,11C3C65,369333,Biolegend
CD152,BNI3,369619,Biolegend
TIGIT,A15153G,372725,Biolegend
CD4,SK3,344649,Biolegend
CD8,SK1,344751,Biolegend
HLA-DR,L243,307659,Biolegend
TCRgd ,B1,331229,Biolegend
CD56,5.1H11,362557,Biolegend
CD314,1D11,320835,Biolegend
CD45RA,HI100,304157,Biolegend
CD197,G043H7,353247,Biolegend
CD49b,P1E6-C5,359311,Biolegend
