Antigen,Clone,Vendor,Cat_Number,Oligo_ID,Study
CD39,TU66,BD Biosciences,940073,AHS0006,Qi_2020
CD11b,ICRF44,BD Biosciences,940266,AHS0184,Qi_2020
CD4,SK3,BD Biosciences,940001,AHS0032,Qi_2020
CD274,MIH1,BD Biosciences,940035,AHS0004,Qi_2020
CD123,7G3,BD Biosciences,940020,AHS0020,Qi_2020
CD62L,DREG-56,BD Biosciences,940041,AHS0049,Qi_2020
CD1c,F10/21A3,BD Biosciences,940083,AHS0088,Qi_2020
CD14,MPHIP9,BD Biosciences,940005,AHS0037,Qi_2020
CD11c,S-HCL-3,BD Biosciences,940265,AHS0183,Qi_2020
CD45RA,HI100,BD Biosciences,940011,AHS0009,Qi_2020
CD8,SK1,BD Biosciences,940305,AHS0228,Qi_2020
CD38,HB7,BD Biosciences,940466,AHS0189,Qi_2020
CD3,UCHT1,BD Biosciences,940307,AHS0231,Qi_2020
CD19,HIB19,BD Biosciences,940247,AHS0161,Qi_2020
CD27,M-T271,BD Biosciences,940018,AHS0025,Qi_2020
CD127,HIL-7R-M21,BD Biosciences,940012,AHS0028,Qi_2020
CD161,DX12,BD Biosciences,940070,AHS0002,Qi_2020
CD86,2331,BD Biosciences,940025,AHS0057,Qi_2020
HLA-DR,G46-6,BD Biosciences,940010,AHS0035,Qi_2020
CD24,ML5,BD Biosciences,940028,AHS0042,Qi_2020
CD16,3G8,BD Biosciences,940006,AHS0053,Qi_2020
CD56,NCAM16.2,BD Biosciences,940007,AHS0019,Qi_2020
CD10,HI10A,BD Biosciences,940045,AHS0051,Qi_2020
CD35,E11,BD Biosciences,940248,AHS0162,Qi_2020
CD101,V7.1,BD Biosciences,940269,AHS0188,Qi_2020
CD15,W6D3,BD Biosciences,940274,AHS0196,Qi_2020
CD66,B1.1/CD66,BD Biosciences,940088,AHS0094,Qi_2020
CD71,L01.1,BD Biosciences,940275,AHS0197,Qi_2020
CD117,104D2,BD Biosciences,940250,AHS0165,Qi_2020
CD34,581,BD Biosciences,940021,AHS0061,Qi_2020
